Energy	1	2
1	1	0
1.017	1	0
1.034	1	0
1.051	1	0
1.068	1	0
1.085	1	0
1.102	1	0
1.119	1	0
1.136	1	0
1.153	1	0
1.17	1	0
1.187	1	0
1.204	1	0
1.221	1	0
1.238	1	0
1.255	1	0
1.272	1	0
1.289	1	0
1.306	1	0
1.323	1	0
1.34	1	0
1.357	1	0
1.374	1	0
1.391	1	0
1.408	1	0
1.425	1	0
1.442	1	0
1.459	1	0
1.476	1	0
1.493	1	0
1.51	1	0
1.527	1	0
1.544	1	0
1.561	1	0
1.578	1	0
1.595	1	0
1.612	1	0
1.629	1	0
1.646	1	0
1.663	1	0
1.68	1	0
1.697	1	0
1.714	1	0
1.731	1	0
1.748	1	0
1.765	1	0
1.782	1	0
1.799	1	0
1.816	1	0
1.833	1	0
1.85	1	0
1.867	1	0
1.884	1	0
1.901	1	0
1.918	1	0
1.935	1	0
1.952	1	0
1.969	1	0
1.986	1	0
2.003	1	0
2.02	1	0
2.037	1	0
2.054	1	0
2.071	1	0
2.088	1	0
2.105	1	0
2.122	1	0
2.139	1	0
2.156	1	0
2.173	1	0
2.19	1	0
2.207	1	0
2.224	1	0
2.241	1	0
2.258	1	0
2.275	1	0
2.292	1	0
2.309	1	0
2.326	1	0
2.343	1	0
2.36	1	0
2.377	1	0
2.394	1	0
2.411	1	0
2.428	1	0
2.445	1	0
2.462	1	0
2.479	1	0
2.496	1	0
2.513	1	0
2.53	1	0
2.547	1	0
2.564	1	0
2.581	1	0
2.598	1	0
2.615	1	0
2.632	1	0
2.649	1	0
2.666	1	0
2.683	1	0
2.7	1	0
2.717	1	0
2.734	1	0
2.751	1	0
2.768	1	0
2.785	1	0
2.802	1	0
2.819	1	0
2.836	1	0
2.853	1	0
2.87	1	0
2.887	1	0
2.904	1	0
2.921	1	0
2.938	1	0
2.955	1	0
2.972	1	0
2.989	1	0
3.006	1	0
3.023	1	0
3.04	1	0
3.057	1	0
3.074	1	0
3.091	1	0
3.108	1	0
3.125	1	0
3.142	1	0
3.159	1	0
3.176	1	0
3.193	1	0
3.21	1	0
3.227	1	0
3.244	1	0
3.261	1	0
3.278	1	0
3.295	1	0
3.312	1	0
3.329	1	0
3.346	1	0
3.363	1	0
3.38	1	0
3.397	1	0
3.414	1	0
3.431	1	0
3.448	1	0
3.465	1	0
3.482	1	0
3.499	1	0
3.516	1	0
