112.256	-0.854473	3.998	0.724171
111.375	0.349346	4.0035	0.722956
112.006	0.594305	4.007	0.722186
111.221	-0.20096	4.01	0.721527
111.856	0.777122	4.015	0.720432
112.476	0.967518	4.0165	0.720105
114.731	0.970257	4.0185	0.719668
114.278	0.237623	4.0265	0.717928
110.514	0.777391	5.6205	0.729485
110.636	-0.397625	5.6375	0.726793
112.642	0.322764	5.6545	0.724123
111.372	-0.714524	5.661	0.723108
110.528	-0.996726	6.8895	0.728743
110.557	0.339496	6.892	0.728418
111.067	0.836814	6.9015	0.727191
111.52	-0.140142	6.9055	0.726676
110.553	0.881517	6.908	0.726354
110.802	0.362111	6.9085	0.72629
111.622	-0.297858	6.9165	0.725263
112.377	-0.341415	6.9225	0.724495
112.53	-0.81341	6.934	0.723028
112.561	0.181485	6.9355	0.722838
113.242	0.557998	6.939	0.722393
110.68	-0.110106	6.94	0.722266
114.11	0.876179	6.9405	0.722203
112.64	-0.464367	6.941	0.722139
111.639	0.550862	6.943	0.721885
113.42	-0.69957	6.9475	0.721315
114.138	-0.249134	6.949	0.721125
110.299	-0.823724	6.9515	0.720809
112.398	-0.96551	6.9545	0.72043
111.14	-0.0538854	6.9555	0.720304
111.961	0.290928	6.9565	0.720178
111.679	0.110046	6.957	0.720115
110.88	0.286498	6.957	0.720115
112.618	-0.107059	6.9575	0.720052
112.583	-0.910714	6.9595	0.7198
110.985	-0.125903	6.9615	0.719548
111.129	0.095902	6.9615	0.719548
112.207	0.716738	6.962	0.719485
114.55	-0.864813	6.9625	0.719422
111.302	0.339738	6.9625	0.719422
114.202	-0.508078	6.966	0.718982
114.519	-0.628343	6.971	0.718355
113.06	0.845496	6.974	0.717979
114.865	0.209969	6.9745	0.717916
114.422	0.643349	6.977	0.717603
111.324	0.182421	7.987	0.725214
111.164	0.654043	8.0005	0.723718
112.254	0.940795	8.004	0.723332
111.387	0.777523	8.005	0.723222
111.846	0.277266	8.0115	0.722505
111.197	-0.970211	8.012	0.72245
110.295	-0.946268	8.0175	0.721846
112.169	0.156017	8.0225	0.721297
111.894	-0.978803	8.026	0.720914
111.76	0.00547319	8.0305	0.720421
113.279	0.582335	8.031	0.720366
113.164	0.979803	8.048	0.718513
111.519	-0.22977	8.9165	0.726491
110.721	-0.381804	8.9215	0.725993
110.059	-0.485611	8.9395	0.724206
111.417	-0.523793	8.94	0.724157
112.048	-0.680203	8.9415	0.724008
112.644	0.30328	8.9435	0.72381
112.674	0.753461	8.945	0.723662
110.007	0.678719	8.954	0.722775
111.465	0.474272	8.9605	0.722135
111.594	0.106056	8.962	0.721987
110.106	0.783204	8.9675	0.721447
113.634	0.936665	8.982	0.720027
114.952	0.758356	8.9855	0.719686
112.585	-0.107306	8.9875	0.71949
112.336	-0.915386	8.9875	0.71949
114.447	-0.190802	8.9885	0.719393
113.951	-0.856543	8.9945	0.718808
111.96	-0.0661793	8.995	0.718759
